category,price,quantity,delivery_status,payment_method,device_type,channel,customer_segment,order_month,order_day_of_week,order_hour,shipping_delay_days
Books,45.95,4,Shipped,PayPal,Mobile,Paid Search,VIP,4,5,14,7.0
Electronics,403.17,3,Delivered,PayPal,Mobile,Paid Search,Returning,4,5,14,2.0
Beauty,317.45,2,Shipped,Credit Card,Mobile,Email,Returning,4,5,14,7.0
Home,24.08,3,Shipped,PayPal,Tablet,Social,VIP,4,5,14,4.0
Clothing,494.9,1,Delivered,PayPal,Tablet,Organic,VIP,4,5,14,5.0
Electronics,342.0,1,Delivered,PayPal,Desktop,Organic,VIP,4,5,14,5.0
Books,281.92,3,Delivered,Debit Card,Tablet,Email,VIP,4,5,14,3.0
Home,195.5,1,Delivered,Apple Pay,Mobile,Social,Returning,4,5,14,6.0
Home,445.83,1,Shipped,Google Pay,Mobile,Email,Returning,4,5,14,1.0
Toys,317.72,2,Delivered,Apple Pay,Desktop,Email,VIP,4,5,14,5.0
Beauty,480.1,1,Delivered,Apple Pay,Mobile,Organic,VIP,4,5,14,6.0
Toys,64.06,1,Delivered,Credit Card,Tablet,Social,VIP,4,5,14,1.0
Home,66.44,1,Delivered,Credit Card,Desktop,Organic,Returning,4,5,14,1.0
Electronics,362.51,2,Delivered,Credit Card,Mobile,Paid Search,VIP,4,5,14,3.0
Toys,182.64,2,Shipped,Credit Card,Mobile,Paid Search,Returning,4,5,14,5.0
Books,373.68,2,Delivered,PayPal,Desktop,Social,New,4,5,14,5.0
Books,128.86,1,Delivered,Credit Card,Desktop,Email,Returning,4,5,14,5.0
Beauty,102.07,1,Returned,Debit Card,Mobile,Email,Returning,4,5,14,1.0
Beauty,39.39,3,Delivered,PayPal,Mobile,Organic,VIP,4,5,14,5.0
Beauty,128.22,3,Delivered,PayPal,Mobile,Social,VIP,4,5,14,2.0
Toys,466.85,1,Delivered,PayPal,Desktop,Social,VIP,4,5,14,4.0
Books,480.29,2,Pending,Credit Card,Desktop,Paid Search,Returning,4,5,14,4.0
Beauty,73.14,1,Delivered,Google Pay,Mobile,Organic,Returning,4,5,14,5.0
Clothing,166.13,2,Delivered,Google Pay,Desktop,Social,Returning,4,5,14,6.0
Home,21.68,2,Delivered,Apple Pay,Mobile,Organic,Returning,4,5,14,5.0
Home,43.27,1,Delivered,Google Pay,Tablet,Organic,Returning,4,5,14,7.0
Beauty,27.96,3,Delivered,Credit Card,Tablet,Paid Search,VIP,4,5,14,6.0
